user,path,time,force_input_raw_y,force_input_raw_x,ppi,robot_pose_z,robotrainer_deviation_left,robot_pose_y,output_data_linear_z,velocity_output_angular_z,output_data_linear_x,virtual_force_resulting_force_y,virtual_force_resulting_force_x,output_data_angular_y,output_data_angular_z,hrv,heart_rate,virtual_force_position_x,virtual_force_position_y,virtual_force_velocity_out_y,virtual_force_velocity_out_x,force_input_scaled_limited_y,force_input_scaled_limited_x,torque_input_scaled_limited_z,path_index_left,path_index_front,virtual_force_resulting_velocity_x,virtual_force_resulting_velocity_y,virtual_force_velocity_in_y,virtual_force_velocity_in_x,ppg_ch1,velocity_output_linear_x,velocity_output_linear_y,ppg_ch2,torque_input_raw_z,ppg_ch0,robotrainer_deviation_right,path_index_right,ppg_ch3,robotrainer_deviation_front,robot_pose_x,total_duration,age_x,age_y,gender
2,8,0.0,-10.0773188961,93.2122537084,,2.8431085336,0.4818153534,8.94576643174,87.1947085557,-0.0662301740376,92.9505183062,,,-3.61380576687,9.30800665363,,73.0,3.032736592716454,8.944663300438116,0.0009776141625088,0.7517501272968703,-0.100636791168,0.871301550431,0.210057762485,,,,,0.0009776141625088,0.7517501272968703,,0.751750127297,0.000977614162509,,9.30136332612,,0.495726021773,,,0.0655067893582,3.0287992494,1.49437713623,,,
5,1,4.5,4.2125863870439,46.88534471671,,2.8981350011459996,0.4191488112456,10.093447405777999,298.30203732350003,-0.0070827062946936,46.96670702867,-0.3495952356150621,-0.02679055553200132,-7.641706207575,-0.979149521612,,,-0.1139916325343328,9.962810456036582,-0.043020387779837424,0.8145349690202007,0.041555454663844006,0.4669759263862,0.01101716273993,,,-0.02145811814734652,-0.27908609965977316,0.08977425591251867,0.8253905702023505,,0.8145349690203,-0.04302038777979,,-1.004325449094,,0.5549131194365,,,0.04872175721544,-0.28369332506986,10.0107519627,39.0,39.0,Weiblich
5,2,4.0,5.931688880834222,52.86819692618889,1407.5,1.859722450322111,0.35080073978689996,10.167158864762222,167.43632436726668,-0.03144283492457778,52.70305431907778,-0.4148606397250613,-0.045553111781093635,-4.597027483619889,2.1477906631788892,,67.0,0.11732423965234391,9.851949443240226,-0.05250945859414377,0.8789752737847409,0.05891468358352111,0.508820611208,0.03606894289348889,,,-0.036688937670458104,-0.3308385983505004,0.15301143175979276,0.9036480193599401,,0.8789752737847778,-0.05250945859424112,,2.190127353052222,,0.618677838188,,,0.09917198166761111,-0.28304431002744446,9.20396614075,39.0,39.0,Weiblich
5,3,3.5,11.26265189437575,59.007990638115004,1097.3333333333333,2.005619215579625,0.3199997992734875,10.13246341363375,130.57551894865,-0.033425726326274996,59.062603314745,-0.6207479430523233,-0.09088349930705365,-3.89161473159625,3.3854923009833753,,77.0,0.27451655604743597,9.880492465991683,-0.0819003039687086,0.9261097759332259,0.11320418509980626,0.5483316413120874,0.030389071459999993,,,-0.0728808115743197,-0.492564603860585,0.20796206903830922,0.9719822365448773,,0.926109775933125,-0.0819003039686625,,3.37534873925875,,0.685309219469125,,,0.09931146212135,0.06579636278862505,8.71316170692,39.0,39.0,Weiblich
5,4,2.5,-1.157651055251,62.08002099283333,2359.0,2.845269920956667,0.28115223024583336,10.007904474083334,160.83941790083335,0.0047673499831266675,62.08918017155,,,-4.411417723245,0.058015950264666584,,121.0,,,,,-0.011699274467796667,0.6150753271286667,0.0023660399188416698,,,,,,,,1.1300794575276667,-0.02679907875173,,0.03238976313428162,,0.6984342090893333,,,0.191153880463,0.40289855834566674,6.6858394146,39.0,39.0,Weiblich
5,5,3.5,-4.6797019158551265,56.539358900525,1138.5,2.80975712260625,0.47590017307,10.00370245847875,155.598571209425,0.0002564736432112513,56.386306166525,0.2834097004418673,-0.0321279163562028,-4.02396788056875,-1.5872504612459999,,58.0,0.07524896509564014,9.983972071844763,0.014255792533468117,1.0013374692376575,-0.04643953891279,0.54891423234175,-0.05150645191851252,,,-0.025799005799389402,0.2262813810325993,-0.11017977560323092,1.0153742937810366,,1.00133746923725,0.0142557925335375,,-1.4371079735315002,,0.50115766060475,,,0.068988555085075,-0.24315387263187493,8.12951779366,39.0,39.0,Weiblich
5,6,3.5,-8.312230704863751,57.7485023450875,2152.5,2.7653923917525,0.579140964905125,9.89877865226625,111.88752679001,0.021875219582000005,57.4958783698875,0.4588371575242712,-0.0954202790386412,-2.9004877005625,-1.4428515434808753,,30.0,0.06537150277637763,9.929354138364266,0.03392623827776613,0.956220371198083,-0.08300135346072,0.548834824438875,-0.039938856491350004,,,-0.07666831618902661,0.3660321121430332,-0.1657117577178295,0.9999870225172359,,0.9562203711975,0.03392623827781499,,-1.4276068046957497,,0.39230895068275,,,0.066401966642025,-0.293616198452175,8.43905138969,39.0,39.0,Weiblich
5,7,3.5,-11.004254956762125,60.30230448574062,1390.6666666666667,2.760162889775,0.6070816668465625,9.90686832840625,175.30791288418874,0.040307174306342494,60.26221388285762,0.49659860433860237,-0.06299749349293098,-4.612649247217,-1.0880975677786253,,72.0,0.08401189357381762,9.986235912754827,-0.0030882025542840613,1.0009556134810238,-0.11021760902691626,0.5604246136484656,-0.03392853928174375,,,-0.050601943275268534,0.395309587903698,-0.22999561361280696,1.0317588525835846,,1.0010058956755,-0.0034471621628875126,,-1.0267625630987498,,0.427721155560875,,,0.19545806252925,-0.38870480413930125,8.4115152359,39.0,39.0,Weiblich
5,8,3.5,-0.6343031222762501,61.858464428625,764.0,2.851142908195,0.40291491844774996,10.031977805005,151.6675755174625,-0.030278183683782496,61.92515065015,-0.0511602154946283,-0.033958896869446066,-4.257458053455375,1.4647635493515132,,81.75,-0.07421963031208417,10.027849033404694,0.009482384593262436,0.9462004640270703,-0.0063119809451253756,0.5551139386355001,0.021673681409528744,,,-0.02703591582716383,-0.04064192114839307,0.025639011342585623,0.9664945366719226,,0.946200464026875,0.009482384593262502,,1.5202419809433758,,0.56374958030975,,,0.098572170281725,-0.08515583293337509,8.5350663662,39.0,39.0,Weiblich
5,9,3.5,-3.699859497705,58.52505959491375,,2.61166527388625,0.4051280228186625,10.05734831964125,87.54140790972875,-0.03477225746330499,58.4518759330475,-0.10160902467480566,-0.06515819248297085,-2.433262719004875,-1.4108287456241249,,110.0,-0.12303379626148225,10.05215919776111,0.00964313452885315,0.9440240442631251,-0.037957103778549994,0.5657522826695125,-0.04749375625298748,,,-0.051981914859594136,-0.0822391156000815,0.04628451689764799,0.9815993059886531,,0.944024044263625,0.009643134528893734,,-1.3688254206121249,,0.5715758205959125,,,0.1311774981340625,-0.13578050721075008,8.44908356667,39.0,39.0,Weiblich
