user,path,time,force_input_raw_y,force_input_raw_x,ppi,robot_pose_z,robotrainer_deviation_left,robot_pose_y,output_data_linear_z,velocity_output_angular_z,output_data_linear_x,virtual_force_resulting_force_y,virtual_force_resulting_force_x,output_data_angular_y,output_data_angular_z,heart_rate,virtual_force_position_x,virtual_force_position_y,virtual_force_velocity_out_y,virtual_force_velocity_out_x,force_input_scaled_limited_y,force_input_scaled_limited_x,torque_input_scaled_limited_z,virtual_force_resulting_velocity_x,virtual_force_resulting_velocity_y,virtual_force_velocity_in_y,virtual_force_velocity_in_x,velocity_output_linear_x,velocity_output_linear_y,torque_input_raw_z,robotrainer_deviation_right,robotrainer_deviation_front,robot_pose_x,total_duration,age_x,age_y,gender,Balance Test,Single Leg Stance,Robotrainer Front,Robotrainer Left,Robotrainer Right,Hand Grip Left,Hand Grip Right,Jump & Reach,Tandem Walk,Figure 8 Walk,Jumping Sideways,Throwing Beanbag at Target,Tapping Test,Ruler Drop Test,Gender
2,8,0.0,-10.0773188961,93.2122537084,,2.8431085336,0.4818153534,8.94576643174,87.1947085557,-0.0662301740376,92.9505183062,,,-3.61380576687,9.30800665363,73.0,3.032736592716454,8.944663300438116,0.0009776141625088,0.7517501272968703,-0.100636791168,0.871301550431,0.210057762485,,,0.0009776141625088,0.7517501272968703,0.751750127297,0.000977614162509,9.30136332612,0.495726021773,0.0655067893582,3.0287992494,1.49437713623,,,,113.4146341,12.0,209.66,173.88,180.53,39.4,41.2,48.0,7.8,4.97,37.0,15.5,17.14,14.0,Male
5,1,4.5,4.2125863870439,46.88534471671,,2.898135001146,0.4191488112456,10.093447405778,298.30203732350003,-0.0070827062946936,46.96670702867,-0.3495952356150621,-0.0267905555320013,-7.641706207575,-0.979149521612,,-0.1139916325343328,9.962810456036582,-0.0430203877798374,0.8145349690202007,0.041555454663844,0.4669759263862,0.01101716273993,-0.0214581181473465,-0.2790860996597731,0.0897742559125186,0.8253905702023505,0.8145349690203,-0.04302038777979,-1.004325449094,0.5549131194365,0.04872175721544,-0.28369332506986,10.0107519627,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Female
5,2,4.0,5.931688880834222,52.86819692618889,1407.5,1.859722450322111,0.3508007397868999,10.167158864762222,167.43632436726668,-0.0314428349245777,52.70305431907778,-0.4148606397250613,-0.0455531117810936,-4.597027483619889,2.147790663178889,67.0,0.1173242396523439,9.851949443240226,-0.0525094585941437,0.8789752737847409,0.0589146835835211,0.508820611208,0.0360689428934888,-0.0366889376704581,-0.3308385983505004,0.1530114317597927,0.90364801935994,0.8789752737847778,-0.0525094585942411,2.190127353052222,0.618677838188,0.0991719816676111,-0.2830443100274444,9.20396614075,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Male
5,3,3.5,11.26265189437575,59.00799063811501,1097.3333333333333,2.005619215579625,0.3199997992734875,10.13246341363375,130.57551894865,-0.0334257263262749,59.062603314745,-0.6207479430523233,-0.0908834993070536,-3.89161473159625,3.3854923009833757,77.0,0.2745165560474359,9.880492465991685,-0.0819003039687086,0.926109775933226,0.1132041850998062,0.5483316413120874,0.0303890714599999,-0.0728808115743197,-0.492564603860585,0.2079620690383092,0.9719822365448773,0.926109775933125,-0.0819003039686625,3.37534873925875,0.685309219469125,0.09931146212135,0.065796362788625,8.71316170692,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Female
5,4,2.5,-1.157651055251,62.08002099283333,2359.0,2.845269920956667,0.2811522302458333,10.007904474083334,160.83941790083335,0.0047673499831266,62.08918017155,,,-4.411417723245,0.0580159502646665,121.0,,,,,-0.0116992744677966,0.6150753271286667,0.0023660399188416,,,,,1.1300794575276667,-0.02679907875173,0.0323897631342816,0.6984342090893333,0.191153880463,0.4028985583456667,6.6858394146,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Male
5,5,3.5,-4.679701915855127,56.539358900525,1138.5,2.80975712260625,0.47590017307,10.00370245847875,155.598571209425,0.0002564736432112,56.386306166525,0.2834097004418673,-0.0321279163562028,-4.02396788056875,-1.587250461246,58.0,0.0752489650956401,9.983972071844764,0.0142557925334681,1.0013374692376575,-0.04643953891279,0.54891423234175,-0.0515064519185125,-0.0257990057993894,0.2262813810325993,-0.1101797756032309,1.0153742937810366,1.00133746923725,0.0142557925335375,-1.4371079735315002,0.50115766060475,0.068988555085075,-0.2431538726318749,8.12951779366,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Female
5,6,3.5,-8.312230704863751,57.7485023450875,2152.5,2.7653923917525,0.579140964905125,9.89877865226625,111.88752679001,0.021875219582,57.4958783698875,0.4588371575242712,-0.0954202790386412,-2.9004877005625,-1.4428515434808753,30.0,0.0653715027763776,9.929354138364266,0.0339262382777661,0.956220371198083,-0.08300135346072,0.548834824438875,-0.03993885649135,-0.0766683161890266,0.3660321121430332,-0.1657117577178295,0.999987022517236,0.9562203711975,0.0339262382778149,-1.4276068046957495,0.39230895068275,0.066401966642025,-0.293616198452175,8.43905138969,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Male
5,7,3.5,-11.004254956762123,60.30230448574062,1390.6666666666667,2.760162889775,0.6070816668465625,9.90686832840625,175.30791288418874,0.0403071743063424,60.26221388285762,0.4965986043386023,-0.0629974934929309,-4.612649247217,-1.088097567778625,72.0,0.0840118935738176,9.986235912754829,-0.003088202554284,1.0009556134810238,-0.1102176090269162,0.5604246136484656,-0.0339285392817437,-0.0506019432752685,0.395309587903698,-0.2299956136128069,1.0317588525835846,1.0010058956755,-0.0034471621628875,-1.0267625630987498,0.427721155560875,0.19545806252925,-0.3887048041393012,8.4115152359,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Female
5,8,3.5,-0.6343031222762501,61.858464428625,764.0,2.851142908195,0.4029149184477499,10.031977805005,151.6675755174625,-0.0302781836837824,61.92515065015,-0.0511602154946283,-0.033958896869446,-4.257458053455375,1.4647635493515132,81.75,-0.0742196303120841,10.027849033404694,0.0094823845932624,0.9462004640270704,-0.0063119809451253,0.5551139386355001,0.0216736814095287,-0.0270359158271638,-0.040641921148393,0.0256390113425856,0.9664945366719226,0.946200464026875,0.0094823845932625,1.5202419809433758,0.56374958030975,0.098572170281725,-0.085155832933375,8.5350663662,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Male
5,9,3.5,-3.699859497705,58.52505959491375,,2.61166527388625,0.4051280228186625,10.05734831964125,87.54140790972875,-0.0347722574633049,58.4518759330475,-0.1016090246748056,-0.0651581924829708,-2.433262719004875,-1.4108287456241249,110.0,-0.1230337962614822,10.05215919776111,0.0096431345288531,0.9440240442631253,-0.0379571037785499,0.5657522826695125,-0.0474937562529874,-0.0519819148595941,-0.0822391156000815,0.0462845168976479,0.9815993059886532,0.944024044263625,0.0096431345288937,-1.3688254206121249,0.5715758205959125,0.1311774981340625,-0.13578050721075,8.44908356667,39.0,39.0,Weiblich,107.0588235,5.0,245.25,154.57,172.04,27.3,33.1,36.0,16.09,4.86,49.0,8.5,10.16,3.5,Male
